任务	"Armor"	quest.Adept Thaumaturgy	line_Adept Thaumaturgy.txt	286
任务	"Baked" Potatoes	quest.And So, It Begins	line_And So, It Begins.txt	442
任务	"Nice to Have" Armor	quest....Without Dying	line_...Without Dying.txt	688
任务	"Oh, Magic" Armor	quest....Without Dying	line_...Without Dying.txt	1839
任务	"Oh, Magic" Armor II	quest....Without Dying	line_...Without Dying.txt	2057
任务	"Oh, Magic" Armor III	quest....Without Dying	line_...Without Dying.txt	2058
任务	"Ooo, Shiny" Armor	quest....Without Dying	line_...Without Dying.txt	689
任务	"Semi-Stable" doing a lot of work in here	quest.How to Generate Power	line_How to Generate Power.txt	-5840241591017037228
任务	"Stores 50 Vis" Wand	quest.Novice Thaumaturgy	line_Novice Thaumaturgy.txt	237
任务	'Easy' Teleportation	quest.Getting Around...	line_Getting Around....txt	2461
任务	(Almost) Automated Essentia	quest.Adept Thaumaturgy	line_Adept Thaumaturgy.txt	298
任务	...Cauldron Bubble	quest.Look to the Edges	line_Look to the Edges.txt	334
任务	...What You Sow	quest.And So, It Begins	line_And So, It Begins.txt	7
任务	...With The Power of Science!	quest.Mass Processing	line_Mass Processing.txt	-7992749153415472519
任务	...or are they?	quest.Adept Thaumaturgy	line_Adept Thaumaturgy.txt	-8023933740364275001
任务	...with Fluid Support!	quest.Applied Energistics	line_Applied Energistics.txt	-4762456525753574104
任务	1,1-Dimethylhydrazine	quest.Space Race	line_Space Race.txt	856
任务	1024k Component	quest.Applied Energistics	line_Applied Energistics.txt	2465
任务	1024k Crafting Storage	quest.Applied Energistics	line_Applied Energistics.txt	2473
任务	1024k Essentia Component	quest.Applied Energistics	line_Applied Energistics.txt	-5461816394932849813
任务	1024k Essentia Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	-6699349212107946035
任务	1024k Fluid Component	quest.Applied Energistics	line_Applied Energistics.txt	2490
任务	1024k Fluid Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	2493
任务	1024k Item Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	2469
任务	16 Slot LV Battery Buffer	quest.Storing and Transforming EU	line_Storing and Transforming EU.txt	664
任务	16384k Component	quest.Applied Energistics	line_Applied Energistics.txt	2467
任务	16384k Crafting Storage	quest.Applied Energistics	line_Applied Energistics.txt	2475
任务	16384k Essentia Component	quest.Applied Energistics	line_Applied Energistics.txt	-4696434011398522032
任务	16384k Essentia Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	-9071312821552184337
任务	16384k Fluid Component	quest.Applied Energistics	line_Applied Energistics.txt	-8598630939261560940
任务	16384k Fluid Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	-5536293655471471866
任务	16384k Item Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	2471
任务	16k Component	quest.Applied Energistics	line_Applied Energistics.txt	1253
任务	16k Crafting Storage	quest.Applied Energistics	line_Applied Energistics.txt	1254
任务	16k Essentia Component	quest.Applied Energistics	line_Applied Energistics.txt	2499
任务	16k Essentia Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	2503
任务	16k Fluid Component	quest.Applied Energistics	line_Applied Energistics.txt	2480
任务	16k Fluid Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	2484
任务	16k Item Storage Cell	quest.Applied Energistics	line_Applied Energistics.txt	180
